seqName	clade	Nextclade_pango	partiallyAliased
BA.4.1.10	22A (Omicron)	BA.4.1.10	BA.4.1.10
BA.4.2	22A (Omicron)	BA.4.2	BA.4.2
BA.4.3	22A (Omicron)	BA.4.3	BA.4.3
BA.4.4	22A (Omicron)	BA.4.4	BA.4.4
BA.4.5	22A (Omicron)	BA.4.5	BA.4.5
BA.4.6	22A (Omicron)	BA.4.6	BA.4.6
BA.4.6.1	22A (Omicron)	BA.4.6.1	BA.4.6.1
BA.4.7	22A (Omicron)	BA.4.7	BA.4.7
BA.4.8	22A (Omicron)	BA.4	BA.4
BA.5	22B (Omicron)	BA.5	BA.5
BA.5.1	22B (Omicron)	BA.5.1	BA.5.1
BA.5.1.1	22B (Omicron)	BA.5.1.1	BA.5.1.1
BA.5.1.2	22B (Omicron)	BA.5.1.2	BA.5.1.2
BA.5.1.3	22B (Omicron)	BA.5.1.3	BA.5.1.3
BA.5.1.4	22B (Omicron)	BA.5.1.4	BA.5.1.4
BA.5.1.5	22B (Omicron)	BA.5.1.5	BA.5.1.5
BA.5.1.6	22B (Omicron)	BA.5.1.6	BA.5.1.6
BA.5.1.7	22B (Omicron)	BA.5.1.7	BA.5.1.7
BA.5.1.8	22B (Omicron)	BA.5.1.8	BA.5.1.8
BA.5.1.9	22B (Omicron)	BA.5.1.9	BA.5.1.9
BA.5.1.10	22B (Omicron)	BA.5.1.10	BA.5.1.10
BA.5.1.11	22B (Omicron)	BA.5.1.11	BA.5.1.11
BA.5.1.12	22B (Omicron)	BA.5.1.12	BA.5.1.12
BA.5.1.14	22B (Omicron)	BA.5.1.14	BA.5.1.14
BA.5.1.15	22B (Omicron)	BA.5.1.15	BA.5.1.15
BA.5.1.16	22B (Omicron)	BA.5.1.16	BA.5.1.16
BA.5.1.17	22B (Omicron)	BA.5.1.17	BA.5.1.17
BA.5.1.18	22B (Omicron)	BA.5.1.18	BA.5.1.18
BA.5.1.19	22B (Omicron)	BA.5.1.19	BA.5.1.19
BA.5.1.20	22B (Omicron)	BA.5.1.20	BA.5.1.20
BA.5.1.21	22B (Omicron)	BA.5.1.21	BA.5.1.21
BA.5.2	22B (Omicron)	BA.5.2	BA.5.2
BA.5.2.1	22B (Omicron)	BA.5.2.1	BA.5.2.1
BA.5.2.2	22B (Omicron)	BA.5.2.2	BA.5.2.2
BA.5.2.3	22B (Omicron)	BA.5.2.3	BA.5.2.3
BA.5.2.4	22B (Omicron)	BA.5.2.4	BA.5.2.4
BA.5.2.5	22B (Omicron)	BA.5.2.5	BA.5.2.5
BA.5.2.6	22B (Omicron)	BA.5.2.6	BA.5.2.6
BA.5.2.7	22B (Omicron)	BA.5.2.7	BA.5.2.7
BA.5.2.8	22B (Omicron)	BA.5.2.8	BA.5.2.8
BA.5.2.9	22B (Omicron)	BA.5.2.9	BA.5.2.9
BA.5.2.10	22B (Omicron)	BA.5.2.10	BA.5.2.10
BA.5.2.11	22B (Omicron)	BA.5.2.11	BA.5.2.11
BA.5.2.12	22B (Omicron)	BA.5.2.12	BA.5.2.12
BA.5.2.13	22B (Omicron)	BA.5.2.13	BA.5.2.13
BA.5.2.14	22B (Omicron)	BA.5.2.14	BA.5.2.14
BA.5.2.15	22B (Omicron)	CF.1	BA.5.2.27.1
BA.5.2.16	22B (Omicron)	BA.5.2.16	BA.5.2.16
BA.5.2.18	22B (Omicron)	BA.5.2.18	BA.5.2.18
BA.5.2.19	22B (Omicron)	BA.5.2.19	BA.5.2.19
BA.5.2.20	22B (Omicron)	BA.5.2.20	BA.5.2.20
BA.5.2.21	22B (Omicron)	BA.5.2.21	BA.5.2.21
BA.5.2.22	22B (Omicron)	BA.5.2.22	BA.5.2.22
BA.5.2.23	22B (Omicron)	BA.5.2.23	BA.5.2.23
BA.5.3	22B (Omicron)	BA.5.3	BA.5.3
BA.5.3.1	22B (Omicron)	BA.5.3.1	BA.5.3.1
BA.5.3.2	22B (Omicron)	BA.5.3.2	BA.5.3.2
BA.5.3.3	22B (Omicron)	BA.5.3.3	BA.5.3.3
BA.5.3.4	22B (Omicron)	BA.5.3.4	BA.5.3.4
BA.5.5	22B (Omicron)	BA.5.5	BA.5.5
BA.5.5.1	22B (Omicron)	BA.5.5.1	BA.5.5.1
BA.5.5.2	22B (Omicron)	BA.5.5.2	BA.5.5.2
BA.5.5.3	22B (Omicron)	BA.5.5.3	BA.5.5.3
BA.5.6	22B (Omicron)	BA.5.6	BA.5.6
BA.5.6.1	22B (Omicron)	BA.5.6.1	BA.5.6.1
BA.5.6.2	22B (Omicron)	BA.5.6.2	BA.5.6.2
BA.5.7	22B (Omicron)	BA.5.7	BA.5.7
BA.5.8	22B (Omicron)	BA.5.8	BA.5.8
BA.5.9	22B (Omicron)	BA.5.9	BA.5.9
BA.5.10	22B (Omicron)	BA.5.10	BA.5.10
BA.5.10.1	22B (Omicron)	BA.5.10.1	BA.5.10.1
BC.1	recombinant	XP	XP
BC.2	recombinant	XP	XP
BD.1	recombinant	XP	XP
BE.1	22B (Omicron)	BE.1	BA.5.3.1.1
BE.1.1	22B (Omicron)	BE.1.1	BA.5.3.1.1.1
BE.1.1.1	22B (Omicron)	BE.1.1.1	BA.5.3.1.1.1.1
BE.1.2	22B (Omicron)	BE.1.2	BA.5.3.1.1.2
BE.1.2.1	22B (Omicron)	BE.1.2.1	BA.5.3.1.1.2.1
BE.1.3	22B (Omicron)	BE.1.3	BA.5.3.1.1.3
BE.2	22B (Omicron)	BE.2	BA.5.3.1.2
BE.3	22B (Omicron)	BE.3	BA.5.3.1.3
BF.1	22B (Omicron)	BF.1	BA.5.2.1.1
BF.1.1	22B (Omicron)	BF.1.1	BA.5.2.1.1.1
BF.2	22B (Omicron)	BF.2	BA.5.2.1.2
BF.3	22B (Omicron)	BF.3	BA.5.2.1.3
BF.3.1	22B (Omicron)	BF.3.1	BA.5.2.1.3.1
BF.4	22B (Omicron)	BF.4	BA.5.2.1.4
BF.5	22B (Omicron)	BF.5	BA.5.2.1.5
BF.6	22B (Omicron)	BF.6	BA.5.2.1.6
BF.7	22B (Omicron)	BF.7	BA.5.2.1.7
BF.8	22B (Omicron)	BF.8	BA.5.2.1.8
BF.9	22B (Omicron)	BF.9	BA.5.2.1.9
BF.10	22B (Omicron)	BF.10	BA.5.2.1.10
BF.11	22B (Omicron)	BF.11	BA.5.2.1.11
BF.12	22B (Omicron)	BF.12	BA.5.2.1.12
BF.13	22B (Omicron)	BF.13	BA.5.2.1.13
BF.14	22B (Omicron)	BF.14	BA.5.2.1.14
BF.15	22B (Omicron)	BF.15	BA.5.2.1.15
BF.16	22B (Omicron)	BF.16	BA.5.2.1.16
BF.17	22B (Omicron)	BF.17	BA.5.2.1.17
BF.18	22B (Omicron)	BF.18	BA.5.2.1.18
BF.19	22B (Omicron)	BF.19	BA.5.2.1.19
